pin_code,Total Schools,Total Public Schools,Total Private Schools
497111,355,315,40
473995,354,318,36
477116,353,285,68
305901,353,175,178
833214,352,335,17
493778,352,331,21
389151,352,302,50
193201,352,263,89
845401,351,234,117
495001,351,156,195
476229,351,317,34
787052,350,280,70
494224,350,333,17
486881,350,296,54
229001,350,170,180
854333,349,319,30
825301,349,149,200
425412,349,308,41
246761,349,204,145
788150,348,195,153
495689,348,294,54
413517,348,283,65
274702,348,237,111
224122,348,141,207
497231,347,314,33
481990,347,331,16
454221,347,328,19
307025,347,339,8
274302,347,274,73
271835,347,258,89
584128,346,200,146
272189,346,287,59
233226,346,138,208
389230,345,307,38
327027,345,300,45
325216,345,289,56
783335,344,254,90
203131,344,161,183
182144,344,297,47
122001,344,95,249
796701,343,227,116
465441,343,240,103
193411,343,299,44
822126,342,310,32
466001,341,176,165
328001,341,132,209
305001,341,96,245
822123,340,316,24
822118,340,311,29
781308,340,247,93
425414,339,326,13
244411,339,243,96
205262,339,162,177
835302,338,219,119
794115,338,297,41
493449,338,304,34
473105,338,299,39
271840,338,287,51
271504,338,224,114
496445,337,291,46
497778,336,312,24
470880,336,291,45
303303,336,129,207
283204,336,200,136
835216,335,300,35
481778,335,315,20
455118,335,205,130
431715,335,305,30
273303,335,224,111
852201,334,142,192
783360,334,237,97
457882,334,311,23
456006,334,219,115
343040,334,259,75
192201,334,267,67
453001,333,235,98
273209,333,241,92
244601,333,200,133
203207,333,155,178
193302,333,287,46
497116,332,307,25
457993,332,309,23
450117,332,310,22
244241,332,224,108
182313,332,322,10
494334,331,296,35
473287,331,288,43
261401,331,231,100
825409,330,190,140
344032,330,298,32
192202,330,284,46
465679,329,273,56
201301,329,82,247
825103,328,293,35
563101,328,215,113
431401,328,181,147
285123,328,234,94
243505,328,215,113
824232,327,292,35
814133,327,275,52
781136,327,247,80
784145,326,276,50
495117,326,281,45
460001,326,242,84
451770,326,299,27
325217,326,298,28
193221,326,263,63
815352,325,298,27
493889,325,311,14
241303,325,192,133
210121,325,276,49
465001,324,204,120
230201,324,162,162
206245,324,211,113
845455,323,260,63
793106,323,272,51
222302,323,200,123
494228,322,312,10
242301,322,239,83
795128,321,236,85
272002,321,198,123
203205,321,175,146
123401,321,182,139
815314,320,270,50
796891,320,223,97
781315,320,227,93
225305,320,249,71
781354,319,260,59
484334,319,280,39
332001,319,84,235
274305,319,238,81
822110,318,276,42
193101,318,262,56
322201,317,156,161
782448,316,273,43
497117,316,303,13
274204,316,240,76
132001,316,132,184
794102,315,288,27
497449,315,296,19
271001,315,192,123
852131,314,254,60
314001,314,225,89
284405,314,221,93
271903,314,281,33
241123,314,233,81
825404,313,291,22
442001,313,234,79
327031,313,267,46
209821,313,243,70
191113,313,250,63
136027,313,171,142
782124,312,248,64
209306,312,242,70
835214,311,229,82
781319,311,229,82
212306,311,202,109
123001,311,210,101
491229,310,298,12
262308,310,190,120
193223,310,257,53
455336,309,239,70
415523,309,285,24
331001,309,147,162
496220,308,271,37
480001,308,173,135
475110,308,194,114
206301,307,227,80
466331,306,245,61
261303,306,200,106
261205,306,200,106
788161,305,178,127
783393,305,247,58
275203,305,115,190
331403,304,150,154
493996,303,287,16
389380,303,282,21
829202,302,258,44
822122,302,280,22
793108,302,231,71
585401,302,143,159
563125,302,229,73
491665,302,281,21
401606,302,269,33
401603,302,292,10
224190,302,188,114
493118,301,258,43
322241,301,177,124
841226,300,179,121
813208,300,280,20
783339,300,228,72
783135,300,199,101
783101,300,237,63
494441,300,290,10
457555,300,289,11
313027,300,254,46
243635,300,226,74
497224,299,282,17
493661,299,253,46
451449,299,278,21
230135,299,163,136
486331,298,219,79
231213,298,248,50
207243,298,200,98
431509,297,263,34
244235,297,169,128
497229,296,248,48
431513,296,218,78
423203,296,234,62
422211,296,288,8
205265,296,177,119
585310,295,184,111
486335,295,216,79
457775,295,276,19
431114,295,230,65
402107,295,267,28
247121,295,193,102
496116,294,279,15
457887,294,268,26
441209,294,277,17
322230,294,148,146
191202,294,258,36
816102,293,264,29
461223,293,233,60
275101,293,121,172
250401,293,194,99
221712,293,236,57
192124,293,227,66
816107,292,226,66
814153,292,263,29
785104,292,232,60
781316,292,200,92
496661,292,258,34
335523,292,153,139
212106,292,206,86
210431,292,158,134
804453,291,250,41
781318,291,229,62
341303,291,178,113
222161,291,171,120
843302,290,207,83
495118,290,264,26
493663,290,242,48
493225,290,252,38
481996,290,278,12
274509,290,194,96
785614,289,232,57
496336,289,273,16
400612,289,87,202
271845,289,226,63
222125,289,130,159
221503,289,160,129
495551,288,236,52
454552,288,235,53
244231,288,158,130
221001,287,140,147
192123,288,246,42
815316,287,232,55
401209,287,27,260
323001,287,143,144
304502,287,201,86
206244,287,140,147
473660,286,234,52
471525,286,260,26
421303,286,269,17
835211,285,258,27
491771,285,259,26
410201,285,258,27
275204,285,109,176
813106,284,258,26
273164,284,211,73
497335,283,247,36
453441,283,149,134
307026,283,245,38
276201,283,153,130
273212,283,208,75
271855,283,235,48
261151,283,229,54
481051,282,262,20
473222,282,224,58
464114,282,244,38
343029,282,179,103
331023,282,148,134
121001,282,52,230
811303,281,265,16
385565,281,234,47
325220,281,208,73
283125,281,176,105
271902,281,227,54
210429,281,227,54
206123,280,185,95
131001,280,99,181
835204,279,227,52
464881,279,242,37
341503,279,189,90
276403,279,169,110
202133,279,122,157
825108,278,260,18
787059,278,230,48
385001,278,166,112
222136,278,157,121
221716,278,124,154
206253,278,181,97
192233,278,226,52
122508,278,226,52
855113,277,254,23
460440,277,261,16
853204,276,244,32
495224,276,247,29
494347,276,267,9
491881,276,247,29
344022,276,176,100
334305,276,235,41
327601,276,238,38
230204,276,163,113
825322,275,185,90
561203,275,210,65
494222,275,256,19
325205,275,143,132
273165,275,179,96
221304,275,160,115
192301,275,212,63
811213,274,251,23
787058,274,235,39
396230,274,239,35
389210,274,258,16
342306,274,179,95
212301,274,195,79
212402,273,177,96
212216,273,177,96
125055,273,166,107
473101,272,215,57
454660,272,237,35
445001,272,189,83
344034,272,247,25
326037,272,232,40
185132,272,221,51
793121,270,207,63
483110,270,250,20
465669,270,197,73
212657,270,190,80
210507,270,191,79
841428,269,194,75
816104,269,250,19
497119,269,248,21
491445,269,230,39
285205,269,183,86
274404,269,183,86
793160,268,229,39
562159,268,202,66
444101,268,216,52
302002,268,90,178
787032,267,217,50
781352,267,213,54
495671,267,213,54
488333,267,211,56
344706,267,246,21
313331,267,202,65
246733,267,188,79
182201,267,225,42
793105,266,201,65
496223,266,245,21
487118,266,226,40
261141,266,181,85
243639,266,172,94
231304,266,204,62
832401,265,232,33
781102,265,200,65
457114,265,198,67
451115,265,218,47
271206,265,212,53
261206,265,203,62
210129,265,219,46
209727,265,142,123
193501,265,211,54
854334,264,218,46
835223,264,213,51
787053,264,215,49
785601,264,179,85
783128,264,140,124
781314,264,198,66
497331,264,231,33
485775,264,204,60
327023,264,211,53
303503,264,180,84
247451,264,140,124
224129,264,125,139
805110,263,139,124
413501,263,189,74
325221,263,212,51
458002,262,192,70
209871,262,189,73
201206,261,143,118
841438,261,206,55
811105,261,204,57
492112,261,247,14
475220,261,208,53
457550,261,237,24
233227,261,137,124
804452,260,210,50
486223,260,214,46
481879,260,254,6
451660,260,234,26
421401,260,234,26
313604,260,239,21
244924,260,183,77
423301,259,221,38
383350,259,244,15
271302,259,188,71
244715,259,167,92
232103,259,203,56
208021,259,50,209
497442,258,225,33
495330,258,223,35
494669,258,245,13
458880,258,180,78
431512,258,203,55
344701,258,229,29
302029,258,58,200
272207,258,182,76
185151,258,226,32
184121,258,208,50
825311,257,184,73
816101,257,228,29
813102,257,219,38
496551,257,242,15
496224,257,228,29
466115,257,187,70
465674,257,182,75
431123,257,239,18
385310,257,202,55
321203,257,129,128
262201,257,174,83
221404,257,167,90
784525,256,203,53
491227,256,229,27
477557,256,192,64
451331,256,211,45
284003,256,47,209
247341,256,150,106
209724,256,178,78
823003,255,170,85
783349,255,187,68
782411,255,232,23
782105,255,218,37
314030,255,228,27
313803,255,212,43
274802,255,198,57
262121,255,191,64
182145,255,227,28
783120,254,232,22
585327,254,113,141
473335,254,226,28
244925,254,178,76
244413,254,178,76
491226,253,220,33
482001,253,111,142
